url,section_type,text,length
https://www.farmapodjanovouhorou.cz/,title,farmapodjanovouhorou,20
https://www.farmapodjanovouhorou.cz/,meta_description,Jízda na koni pro děti i dospělé,32
https://www.farmapodjanovouhorou.cz/,h1,Farma pod Janovu horou z.s.,27
https://www.farmapodjanovouhorou.cz/,h1,Jízda na koni pro děti i dospělé,32
https://www.farmapodjanovouhorou.cz/,h1,Prodej BIO masa a BIO vajec,27
https://www.farmapodjanovouhorou.cz/,h2,Kroužky pro děti,16
https://www.farmapodjanovouhorou.cz/,h2,Připouštění,11
https://www.farmapodjanovouhorou.cz/,h2,Tábory,6
https://www.farmapodjanovouhorou.cz/,h2,Jízda na ponících,17
https://www.farmapodjanovouhorou.cz/,h2,Jízda na koni,13
https://www.farmapodjanovouhorou.cz/,h2,Dárkový poukaz,14
https://www.farmapodjanovouhorou.cz/,paragraph,"Farma pod Janovu horou z.s. Co nabízíme Jízda na koni pro děti i dospělé Kroužky pro děti jezdecký kroužek je pro děti, které mají rády koně, chtějí s nimi trávit čas, jezdit, pečovat o ně. Připouštění nabízíme připouštění plemenným hřebcem plemene Achal-teke. Hřebec jménem KhanDengri výkonnost Endurance stupně Z, plavák, charakterní hřebec s vyrovnanou povahou. Připouští přirozeně, klisny musí mít potřebné vyšetření na AIE, EVA, CEM, očkování chřipka+tetanus Tábory příměstské i pobytové tábory pro děti. Děti si užijí jízdu na koni. Naučí se jak o ně pečovat, starat se, jak s nimi pracovat. Jízda na ponících jízda v přírodě na vedených ponících pro děti Jízda na koni vyjížďky do přírody Dárkový poukaz Udělejte radost krásným zážitkem. Prodej BIO masa a BIO vajec sledujte nás i na FACEBOOKU",800
https://www.farmapodjanovouhorou.cz/,title,farmapodjanovouhorou,20
https://www.farmapodjanovouhorou.cz/,meta_description,Jízda na koni pro děti i dospělé,32
https://www.farmapodjanovouhorou.cz/,h1,Farma pod Janovu horou z.s.,27
https://www.farmapodjanovouhorou.cz/,h1,Jízda na koni pro děti i dospělé,32
https://www.farmapodjanovouhorou.cz/,h1,Prodej BIO masa a BIO vajec,27
https://www.farmapodjanovouhorou.cz/,h2,Kroužky pro děti,16
https://www.farmapodjanovouhorou.cz/,h2,Připouštění,11
https://www.farmapodjanovouhorou.cz/,h2,Tábory,6
https://www.farmapodjanovouhorou.cz/,h2,Jízda na ponících,17
https://www.farmapodjanovouhorou.cz/,h2,Jízda na koni,13
https://www.farmapodjanovouhorou.cz/,h2,Dárkový poukaz,14
https://www.farmapodjanovouhorou.cz/,paragraph,"Farma pod Janovu horou z.s. Co nabízíme Jízda na koni pro děti i dospělé Kroužky pro děti jezdecký kroužek je pro děti, které mají rády koně, chtějí s nimi trávit čas, jezdit, pečovat o ně. Připouštění nabízíme připouštění plemenným hřebcem plemene Achal-teke. Hřebec jménem KhanDengri výkonnost Endurance stupně Z, plavák, charakterní hřebec s vyrovnanou povahou. Připouští přirozeně, klisny musí mít potřebné vyšetření na AIE, EVA, CEM, očkování chřipka+tetanus Tábory příměstské i pobytové tábory pro děti. Děti si užijí jízdu na koni. Naučí se jak o ně pečovat, starat se, jak s nimi pracovat. Jízda na ponících jízda v přírodě na vedených ponících pro děti Jízda na koni vyjížďky do přírody Dárkový poukaz Udělejte radost krásným zážitkem. Prodej BIO masa a BIO vajec sledujte nás i na FACEBOOKU",800
https://www.farmapodjanovouhorou.cz/o-nas2,title,O nás :: farmapodjanovouhorou,29
